city,state,population,area,radius,gyms,per_100k,score
Davie,Florida,107799,34.9,5363.973978235077,0,0.0,-inf
Edison,New Jersey,106836,30.1,4981.466300224224,0,0.0,-inf
Sandy Springs,Georgia,105793,37.7,5574.996819450443,0,0.0,-inf
Lubbock,Texas,266878,134.6,10534.076763233565,0,0.0,-inf
Newport News,Virginia,183118,69.0,7542.207808187236,0,0.0,-inf
Hartford,Connecticut,119669,17.4,3787.4645184557403,0,0.0,-inf
Mobile,Alabama,182595,139.5,10724.104879880255,0,0.0,-inf
Miramar,Florida,138319,28.9,4881.1580506618775,0,0.0,-inf
Warren,Michigan,136655,34.4,5325.411479771264,0,0.0,-inf
McAllen,Texas,146593,62.3,7166.679323355682,0,0.0,-inf
Pasadena,Texas,146716,43.7,6002.258113453997,0,0.0,-inf
Savannah,Georgia,147748,106.8,9383.38585164352,0,0.0,-inf
Mesquite,Texas,147317,48.5,6323.315016622038,0,0.0,-inf
Bridgeport,Connecticut,148028,16.1,3643.232494883098,0,0.0,-inf
Midland,Texas,138397,75.5,7889.462653173902,0,0.0,-inf
Kansas City,Kansas,152933,124.7,10139.281381325229,0,0.0,-inf
Macon,Georgia,156512,249.4,14339.109242187147,0,0.0,-inf
Roseville,California,159135,44.1,6029.665827288202,0,0.0,-inf
Salinas,California,159506,23.5,4401.572705779567,0,0.0,-inf
Brownsville,Texas,190158,131.5,10412.063912107713,0,0.0,-inf
Montgomery,Alabama,195287,159.9,11481.488118491154,0,0.0,-inf
Topeka,Kansas,125475,61.4,7114.725264215589,0,0.0,-inf
Clovis,California,125826,25.4,4576.050485234717,0,0.0,-inf
Rochester,Minnesota,122413,55.5,6764.262305949297,0,0.0,-inf
Hampton,Virginia,137098,51.5,6515.9473034439625,0,0.0,-inf
Independence,Missouri,120922,78.0,8019.019142472675,0,0.0,-inf
Billings,Montana,120864,44.8,6077.33191155395,0,0.0,-inf
Fairfield,California,120768,41.6,5856.26356453069,0,0.0,-inf
New Haven,Connecticut,135319,18.7,3926.401908280688,0,0.0,-inf
Pembroke Pines,Florida,171119,32.7,5192.157107970417,0,0.0,-inf
Springfield,Missouri,170188,82.4,8242.093837006094,0,0.0,-inf
North Charleston,South Carolina,121469,77.6,7998.431126108445,0,0.0,-inf
Lakeland,Florida,122264,66.2,7387.592701562602,0,0.0,-inf
Frisco,Texas,225007,68.6,7520.314560817103,0,0.0,-inf
Cape Coral,Florida,224455,106.0,9348.176024462644,0,0.0,-inf
Sterling Heights,Michigan,133306,36.4,5478.032956280337,0,0.0,-inf
Columbia,Missouri,129330,66.5,7404.3130383826365,0,0.0,-inf
West Palm Beach,Florida,124130,53.8,6659.8597994743595,0,0.0,-inf
Aurora,Illinois,177563,45.0,6090.882278234688,0,0.0,-inf
Wilmington,North Carolina,122698,51.4,6509.618067075668,0,0.0,-inf
Elizabeth,New Jersey,135829,12.3,3184.39185614234,0,0.0,-inf
West Valley City,Utah,134470,35.8,5432.69673161767,0,0.0,-inf
Lewisville,Texas,133553,37.0,5522.997045305897,0,0.0,-inf
Fargo,North Dakota,133188,49.8,6407.500079299789,0,0.0,-inf
Abilene,Texas,129043,106.7,9378.991851940327,0,0.0,-inf
Dayton,Ohio,135512,55.8,6782.519457389606,0,0.0,-inf
Meridian,Idaho,134801,35.1,5379.321574632292,0,0.0,-inf
Pearland,Texas,127736,48.7,6336.339366192372,0,0.0,-inf
Coral Springs,Florida,134906,22.9,4345.019101442418,0,0.0,-inf
Port St. Lucie,Florida,245021,119.2,9913.15910375447,0,0.0,-inf
Garland,Texas,243470,57.1,6861.072413016615,0,0.0,-inf
Palm Bay,Florida,135566,86.4,8439.774055058684,0,0.0,-inf
Irving,Texas,254373,67.0,7432.096674604455,0,0.0,-inf
Toledo,Ohio,265304,80.5,8146.515516394761,0,0.0,-inf
Columbus,Georgia,201877,216.5,13359.890518316672,0,0.0,-inf
Grand Prairie,Texas,202134,72.6,7736.459550470459,0,0.0,-inf
Tallahassee,Florida,202221,100.9,9120.518570741615,0,0.0,-inf
