city,state,population,area,radius,restaurants,per_100k,score
Burbank,California,102755,17.3,3776.565317388338,26,25.30290496812807,3.267715042982901
Berkeley,California,118962,10.4,2928.131782265345,29,24.37753232124544,3.213964108878968
Atlanta,Georgia,510823,135.3,10561.432972287532,107,20.946590110468794,2.995127423183703
Portland,Oregon,630498,133.5,10490.944311692332,111,17.605131182018024,2.744407993335036
Hollywood,Florida,153859,27.3,4744.115702907141,26,16.898588967821187,2.6853148025669786
Fort Lauderdale,Florida,184255,34.6,5340.869891038439,25,13.568152831673498,2.368636341688512
Cambridge,Massachusetts,118214,6.4,2297.0155532526483,16,13.534775914866259,2.3650830181971294
Costa Mesa,California,108354,15.8,3609.1297241288007,14,12.920612067851673,2.2980864302420083
Oakland,California,436504,55.9,6788.594263316176,56,12.829206605208658,2.2878439688692866
Vancouver,Washington,196442,48.7,6336.339366192372,25,12.726402704106048,2.2762366949785724
Carlsbad,California,113495,37.8,5582.385817815107,14,12.335345169390722,2.231210101967893
Salt Lake City,Utah,209593,110.3,9535.900372431966,25,11.927879270777174,2.182749576492064
Inglewood,California,102865,9.1,2739.0164781401686,12,11.665775531035823,2.1506942357406045
Bend,Oregon,104557,33.6,5263.1238226355645,12,11.47699341029295,2.1271567695639573
Washington,District of Columbia,678972,61.1,7097.322730374145,77,11.340673842220298,2.1099183812095204
Tempe,Arizona,189834,39.9,5735.356217552478,20,10.535520507390668,2.0036736083307742
Pasadena,California,133560,23.0,4354.495708340998,14,10.482180293501047,1.996350844722873
Garden Grove,California,168234,18.0,3852.2121918354073,17,10.104972835455378,1.9434774594854314
Honolulu,Hawaii,341778,60.5,7062.389018364914,34,9.947977927192506,1.920887227651604
Orlando,Florida,320742,110.6,9548.859699415958,31,9.665089074708021,1.8792669497403671
Torrance,California,139224,20.5,4111.032208879269,13,9.337470551054416,1.8295157090497793
Davie,Florida,107799,34.9,5363.973978235077,10,9.27652390096383,1.8200682211088337
Jersey City,New Jersey,291657,14.7,3481.229188508331,27,9.257449675474959,1.8170987229466156
Las Vegas,Nevada,660929,141.8,10812.15005269847,61,9.229433116113833,1.8127259595497425
Santa Clara,California,131062,18.3,3884.181305900568,12,9.155971982725733,1.8011969694324643
North Las Vegas,Nevada,284771,101.3,9138.579021242058,26,9.130143167668056,1.7971214041338108
St. Petersburg,Florida,263553,61.8,7137.8626432224355,24,9.106327759501884,1.793353307671806
Glendale,California,187050,30.5,5014.456503801025,17,9.0884790163058,1.7905227965405357
Miami Gardens,Florida,110717,18.2,3873.5542509492166,10,9.032036633940587,1.7815352588728022
Carrollton,Texas,132918,36.7,5500.56094560142,12,9.028122601904935,1.7809099316403691
Long Beach,California,449468,50.7,6465.1399215154715,40,8.899409969119048,1.76019360974744
San Mateo,California,101327,12.1,3158.3963857223916,9,8.882134080748468,1.75739027093148
Huntington Beach,California,192129,27.0,4717.9771254625675,17,8.848221767666516,1.751871466234289
Richmond,California,114106,30.1,4981.466300224224,10,8.763781045694355,1.7380373616644271
San Francisco,California,808988,46.9,6218.138200978377,67,8.281952266288252,1.656454808819391
West Palm Beach,Florida,124130,53.8,6659.8597994743595,10,8.05607024893257,1.6165601848792401
Pompano Beach,Florida,113619,24.0,4448.151491863461,9,7.921210360943153,1.5922048121296908
Richardson,Texas,117435,28.6,4855.757229244392,9,7.663814024779666,1.5445464732781435
Tampa,Florida,403364,114.0,9694.521419296256,30,7.437451036780675,1.5012921867757898
Richmond,Virginia,229247,59.9,7027.281647575907,17,7.415582319506908,1.4970439080568925
Arvada,Colorado,121414,38.9,5663.0285291185755,9,7.41265422438928,1.4964741372216546
Norfolk,Virginia,230930,53.3,6628.840255908358,17,7.361538128437189,1.4864911573561894
Baltimore,Maryland,565239,80.9,8166.7302261739615,41,7.253568844329567,1.4651749145386876
Sunnyvale,California,151967,22.1,4268.448891039216,11,7.238413602953272,1.4621574668392978
Ontario,California,182457,50.0,6420.353653059013,13,7.1249664304466265,1.4393671380465167
Grand Rapids,Michigan,196608,44.8,6077.33191155395,14,7.120768229166667,1.4385168169521951
Santa Ana,California,310539,27.3,4744.115702907141,22,7.0844563806800425,1.4311410746769713
Cincinnati,Ohio,311097,77.8,8008.73174998525,22,7.07174932577299,1.4285510572100615
Anaheim,California,340512,50.3,6439.585908777854,24,7.048209754722301,1.4237407806805584
Irvine,California,314621,65.6,7354.037981396128,22,6.992540230944534,1.412300570319044
McAllen,Texas,146593,62.3,7166.679323355682,10,6.821608125899599,1.3765958014513198
Chesapeake,Virginia,253886,338.5,16705.261769139008,17,6.695918640649741,1.349765919580298
Sandy Springs,Georgia,105793,37.7,5574.996819450443,7,6.616694866390026,1.332594671355342
Edinburg,Texas,105799,44.7,6070.545385806065,7,6.616319624949195,1.3325128519080311
New Orleans,Louisiana,364136,169.5,11821.12473891044,24,6.590944042885076,1.3269690432323786
Orange,California,138337,25.7,4602.995078163671,9,6.505851652124884,1.3082218472801117
Fullerton,California,139250,22.4,4297.322606181202,9,6.4631956912028725,1.2987315950559406
Lakewood,Colorado,155961,43.5,5988.507217696489,10,6.411859375100185,1.2872267058307318
Rochester,New York,207274,35.8,5432.69673161767,13,6.271891312948078,1.2553844800533833
Sacramento,California,526384,98.6,9015.968928065728,33,6.269187513298276,1.254762403043772
Aurora,Colorado,395052,160.1,11488.666292445565,24,6.075149600558913,1.2094038567001613
St. Louis,Missouri,281754,61.7,7132.085335401539,17,6.033632175585795,1.1995106702599945
Carmel,Indiana,102296,49.1,6362.308078975894,6,5.865331977789943,1.1586966882830008
Denver,Colorado,716577,153.1,11234.701662034742,42,5.861198447619726,1.1576796059050787
Seattle,Washington,755078,83.8,8311.816718796414,44,5.827212552875332,1.1492898564370977
Pittsburgh,Pennsylvania,303255,55.4,6758.165628454648,17,5.605843267217359,1.0934153300571512
Sugar Land,Texas,108515,40.5,5778.318287753111,6,5.529189512970557,1.0735519420886852
Plano,Texas,290190,71.7,7688.356744943572,16,5.513629001688549,1.0694861164503073
Pomona,California,145502,23.0,4354.495708340998,8,5.498206210223914,1.065444937322001
Goodyear,Arizona,111805,191.3,12558.316781404754,6,5.366486293099594,1.0304617139166081
Naperville,Illinois,150245,39.1,5677.5677790522495,8,5.324636427168957,1.0191669408596569
Austin,Texas,979882,319.9,16239.814676041342,52,5.30676142637583,1.0143156128112338
Oceanside,California,170020,41.3,5835.109021352353,9,5.293494882954946,1.0107044574131965
Providence,Rhode Island,190792,18.4,3894.779364632628,10,5.2413099081722505,0.996411336349159
Boston,Massachusetts,653833,48.3,6310.263784923445,34,5.200104613869291,0.9850245683542589
New Haven,Connecticut,135319,18.7,3926.401908280688,7,5.172961668354037,0.977474422389958
Los Angeles,California,3820914,469.5,19673.95832757022,197,5.1558344417068795,0.9726898594395421
Alexandria,Virginia,155230,14.9,3504.8310126229717,8,5.153642981382465,0.972076519139116
Elizabeth,New Jersey,135829,12.3,3184.39185614234,7,5.153538640496507,0.9720473099752025
Gilbert,Arizona,275411,68.6,7520.314560817103,14,5.0833118502892045,0.9522526609295074
Eugene,Oregon,177899,44.2,6036.498312004056,9,5.059050360035751,0.9453505216232335
Denton,Texas,158349,96.4,8914.81768218012,8,5.0521316838123385,0.9433761646407219
Ann Arbor,Michigan,119381,28.2,4821.681318909036,6,5.025925398514001,0.9358731781530425
San Diego,California,1388320,325.9,16391.403040490753,69,4.970035726633629,0.9197401436811667
Albany,New York,101228,21.4,4200.305079513752,5,4.939344845299719,0.9108036166084763
Scottsdale,Arizona,244394,184.0,12316.373776062555,12,4.9101041760436015,0.9022375552234049
Wilmington,North Carolina,122698,51.4,6509.618067075668,6,4.890055257624411,0.896334688902516
Frisco,Texas,225007,68.6,7520.314560817103,11,4.888736794855271,0.8959456552263825
St. George,Utah,104578,78.5,8044.680069315788,5,4.7811203121115335,0.8638326312993361
West Covina,California,105617,16.0,3631.90048455508,5,4.73408636867171,0.8495699480198877
Cleveland,Ohio,362656,77.7,8003.5830951618855,17,4.687637871702109,0.8353450445059167
Edison,New Jersey,106836,30.1,4981.466300224224,5,4.680070388258639,0.8330141492842017
Downey,California,108816,12.4,3197.3103345665954,5,4.594912512865755,0.8065213140411676
Temecula,California,110682,37.3,5545.342370732375,5,4.517446377911495,0.78199139758031
Charleston,South Carolina,155369,114.8,9728.477815448801,7,4.505403265773738,0.7781401645083147
Lansing,Michigan,112115,39.1,5677.5677790522495,5,4.459706551308924,0.763432705113863
Cary,North Carolina,180010,59.2,6986.100069418722,8,4.444197544580857,0.7584068671257904
Westminster,Colorado,114875,31.6,5104.080204226817,5,4.352557127312296,0.7283471545519878
Palmdale,California,161404,106.1,9352.584501965159,7,4.336943322346411,0.7231625105399562
Chandler,Arizona,280167,65.3,7337.203076488667,12,4.283159686901027,0.7051593866884397
Detroit,Michigan,633218,138.7,10693.31054529821,27,4.2639343796291325,0.6986691569045191
Newark,New Jersey,304960,24.1,4457.40884109006,13,4.2628541448058765,0.6983036149595352
Lancaster,California,166236,94.3,8817.181793704647,7,4.210880916287688,0.6806059978470791
